ba41795e, 23-2-2020-17-9-46, 08, 8
057f785e, 23-2-2020-3-19-1, 0a, 10
7f99795e, 24-2-2020--1-24-15, 04, 4
d04c795e, 23-2-2020-17-57-4, 02, 2
e79c795e, 24-2-2020--1-38-47, 06, 6
2b457a5e, 24-2-2020-11-36-43, 0a, 10
8fc3775e, 22-2-2020-13-59-11, 05, 5
63aa785e, 23-2-2020-6-24-3, 03, 3
5bc9785e, 23-2-2020-8-36-11, 02, 2
35297a5e, 24-2-2020-9-37-25, 0c, 12
c0f1785e, 23-2-2020-11-28-32, 0a, 10
320d5b5e, 29-1-2020-19-17-38, 08, 8
1c48795e, 23-2-2020-17-37-0, 09, 9
96a5785e, 23-2-2020-6-3-34, 0e, 14
49e6785e, 23-2-2020-10-39-37, 01, 1
d06b795e, 23-2-2020-20-9-20, 0c, 12
3618795e, 23-2-2020-14-12-38, 05, 5
10d57a5e, 25-2-2020--3-50-40, 0a, 10
991c795e, 23-2-2020-14-31-21, 08, 8
e6d3785e, 23-2-2020-9-21-10, 03, 3
920e795e, 23-2-2020-13-31-30, 04, 4
70c0795e, 24-2-2020-2-10-24, 04, 4
ac467a5e, 24-2-2020-11-43-8, 08, 8
3352795e, 23-2-2020-18-20-3, 04, 4
01e6795e, 24-2-2020-4-50-41, 04, 4
fe5e595e, 28-1-2020-12-42-6, 10, 16
cb26795e, 23-2-2020-15-14-51, 0d, 13
092f795e, 23-2-2020-15-50-1, 0c, 12
c5b37a5e, 24-2-2020-19-28-37, 0f, 15
cd227a5e, 24-2-2020-9-10-5, 0b, 11
c41f825e, 30-2-2020-10-35-16, 01, 1
37b9795e, 24-2-2020-1-39-35, 03, 3
e7097a5e, 24-2-2020-7-23-51, 01, 1
1edb795e, 24-2-2020-4-4-14, 09, 9
4f93795e, 24-2-2020--2-57-51, 0e, 14
7dec785e, 23-2-2020-11-6-5, 04, 4
64f7785e, 23-2-2020-11-52-36, 08, 8
07e9795e, 24-2-2020-5-3-35, 05, 5
5a49795e, 23-2-2020-17-42-18, 0b, 11
2ea7785e, 23-2-2020-6-10-22, 10, 16
dfa6795e, 24-2-2020-0-21-19, 02, 2
d5dc7a5e, 25-2-2020--2-23-49, 08, 8
76917a5e, 24-2-2020-17-2-14, 08, 8
52c8795e, 24-2-2020-2-44-2, 0a, 10
c80a7a5e, 24-2-2020-7-27-36, 04, 4
766d595e, 28-1-2020-13-43-50, 0a, 10
7b54795e, 23-2-2020-18-29-47, 03, 3
4bc6795e, 24-2-2020-2-35-23, 0c, 12
c167795e, 23-2-2020-19-52-1, 08, 8
3bed785e, 23-2-2020-11-9-15, 05, 5
cf7b795e, 24-2-2020--3-17-35, 01, 1
aaea795e, 24-2-2020-5-10-34, 03, 3
79c9795e, 24-2-2020-2-48-57, 08, 8
235a795e, 23-2-2020-18-53-55, 05, 5
48fd7a5e, 25-2-2020-0-42-16, 0b, 11
e7157a5e, 24-2-2020-8-15-3, 03, 3
41e8585e, 28-1-2020-4-15-29, 00, 0
857b795e, 24-2-2020--3-16-21, 02, 2
1d41795e, 23-2-2020-17-7-9, 0f, 15
70487a5e, 24-2-2020-11-50-40, 03, 3
83747a5e, 24-2-2020-14-58-43, 05, 5
4635795e, 23-2-2020-16-16-38, 06, 6
50df585e, 28-1-2020-3-37-20, 00, 0
22ef795e, 24-2-2020-5-29-38, 08, 8
14f17a5e, 25-2-2020--1-50-12, 0c, 12
fba07a5e, 24-2-2020-18-8-27, 0e, 14
2291595e, 28-1-2020-16-16-2, 05, 5
289a7a5e, 24-2-2020-17-39-20, 03, 3
61a57a5e, 24-2-2020-18-27-13, 0d, 13
c8f8795e, 24-2-2020-6-10-48, 0f, 15
